FiscalYear,naics,Continuing Denials,Continuing Approvals,Initial Denials,Initial Approvals
2012,81,20,595,109,703
2012,92,10,272,10,231
2012,99,170,2128,647,3028
2011,11,4,166,22,170
2011,21,11,798,11,644
2011,22,5,689,10,287
2011,23,12,443,15,348
2011,31,30,1007,122,863
2011,32,48,2327,74,1703
2011,33,278,15049,273,9925
2011,42,31,1042,117,836
2011,44,63,2171,252,931
2011,45,20,1637,59,963
2011,48,31,791,81,422
2011,49,0,47,7,52
2011,51,136,8054,162,4945
2011,52,144,9922,147,5158
2011,53,17,479,106,335
2011,54,2742,75577,4285,60742
2011,55,12,783,15,344
2011,56,82,1522,218,1256
2011,61,335,18323,402,12999
2011,62,318,10156,1065,7068
2011,71,18,403,106,1047
2011,72,64,785,299,698
2011,81,23,724,171,861
2011,92,6,422,32,299
2011,99,118,1869,532,1967
2010,11,17,130,21,124
2010,21,8,540,9,486
2010,22,9,419,10,299
2010,23,16,341,12,258
2010,31,29,844,94,683
2010,32,29,1682,62,1261
2010,33,153,10068,232,6770
2010,42,33,737,70,594
2010,44,86,1633,197,910
2010,45,20,900,46,608
2010,48,24,592,67,400
2010,49,0,35,5,37
2010,51,106,5002,143,4101
2010,52,113,7899,145,4341
2010,53,30,378,73,287
2010,54,3421,52685,3179,38848
2010,55,13,611,15,289
2010,56,67,1007,306,908
2010,61,404,13080,615,12168
2010,62,308,6950,1036,6875
2010,71,19,280,92,528
2010,72,60,629,239,634
2010,81,29,537,188,733
2010,92,10,320,18,227
2010,99,166,1636,478,1669
2009,11,10,187,25,198
2009,21,15,659,12,768
2009,22,8,494,6,436
2009,23,22,559,17,417
2009,31,34,941,63,793
2009,32,60,2101,61,1745
2009,33,247,11410,198,8596
2009,42,37,974,71,757
2009,44,81,1879,165,1279
2009,45,20,842,32,549
2009,48,34,824,52,577
2009,49,5,50,6,42
2009,51,99,4349,193,2579
2009,52,152,8815,143,4784
2009,53,36,498,62,353
2009,54,5896,61485,13649,45070
2009,55,6,568,20,257
2009,56,98,1430,375,1492
2009,61,453,17085,667,15752
2009,62,337,7640,1288,8425
2009,71,24,488,75,541
2009,72,63,951,231,820
2009,81,36,587,146,813
2009,92,8,412,31,345
2009,99,186,2459,511,2402
